Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label,IP_Address,GPS_Location
45e12483-b8bb-4617-8787-5b268136ed06,857602.0,41.55,POS,01-01-2025 16:23,86153.7,Tablet,New York,Travel,0.0,0.0,7.0,352.18,1.0,Amex,55.0,4936.82,Password,0.906,0.0,1,203.27.142.120,"53.2089225, -111.370480"
dd184140-2ea4-4278-9f8d-a8b449695947,702251.0,425.41,Online,01-01-2025 02:44,30233.81,Laptop,Sydney,Shopping,0.0,0.0,8.0,110.06,3.0,Amex,190.0,2583.75,Password,0.4761,0.0,0,201.174.249.204,"4.364204, -32.855910"
652a0e70-e21a-4d0b-b4b8-1f4b32ec4f22,184677.0,42.83,Online,02-01-2025 01:50,949.06,ATM,Mumbai,Travel,0.0,0.0,6.0,248.87,4.0,Amex,15.0,2101.2,Biometric,0.7848,0.0,1,162.81.73.201,"42.743870, -61.188594"
79e384f6-8a7f-4d03-8f70-0208dcc0e9d8,865495.0,172.34,ATM Withdrawal,01-01-2025 23:25,61460.77,POS,Tokyo,Bills,0.0,0.0,11.0,444.05,1.0,Amex,230.0,1225.52,PIN,0.4969,0.0,0,91.97.1.234,"-54.785097, -177.951924"
d195a4ee-5e18-43b0-8ef7-af30f9d1a93f,671127.0,17612.100000000002,Bank Transfer,01-01-2025 11:22,34805.65,Mobile,Sydney,Food,0.0,0.0,1.0,398.91,3.0,Mastercard,224.0,3446.04,PIN,0.8099,0.0,0,63.244.166.228,"43.894710, 87.894646"
faa15a95-f1be-4797-802e-ade0dc8e769a,315382.0,20.31,Bank Transfer,01-01-2025 16:25,60821.8,POS,London,Bills,0.0,0.0,4.0,402.17,3.0,Mastercard,215.0,1999.56,PIN,0.6929,1.0,0,188.231.122.78,"10.0252065, 83.347529"
467fb35f-605d-4524-8685-c140f8202abe,954951.0,21.28,POS,01-01-2025 06:34,94811.76,Laptop,Sydney,Travel,0.0,0.0,9.0,132.38,3.0,Visa,131.0,2064.88,Password,0.9306,0.0,1,193.42.17.230,"-73.6994095, -137.349249"
dba2408a-ef4e-4872-9a6f-4f71bd2ef62f,80877.0,336.21,ATM Withdrawal,02-01-2025 02:40,42599.37,ATM,London,Food,0.0,0.0,8.0,196.54,1.0,Discover,91.0,1649.61,Password,0.3174,0.0,0,26.102.172.246,"28.0878765, 70.669300"
cef42542-5334-4341-bc3d-b57b11763146,832751.0,13.56,POS,02-01-2025 04:29,65615.57,ATM,Sydney,Shopping,0.0,0.0,8.0,345.45,3.0,Amex,27.0,3919.01,OTP,0.6608,0.0,0,10.157.99.230,"-7.2208065, 89.195481"
b82843cd-797b-4ed6-a6b2-6f60ddaaf365,205837.0,88.94,Bank Transfer,01-01-2025 10:20,25920.8,Tablet,Mumbai,Bills,1.0,0.0,13.0,450.27,4.0,Mastercard,2.0,3633.03,Password,0.9234,1.0,1,52.120.24.246,"-15.5462135, -106.140061"
