Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label,GPS_Location,Transaction_Hour,Transaction_Day,Transaction_Month,Amount_Balance_Ratio,High_Amount_Flag,High_Velocity_Flag,Geo_Anomaly_Flag,Risk_Amount_Interaction
41.55,3,86153.7,4,2,5,0.0,0.0,7.0,352.18,1.0,0,55.0,4936.82,3,0.906,0.0,1,56893,16,1,1,0.0004822720060542257,0,0,1,37.6443
425.41,2,30233.81,1,3,4,0.0,0.0,8.0,110.06,3.0,0,190.0,2583.75,3,0.4761,0.0,0,50813,2,1,1,0.014070205832284046,1,0,0,202.53770100000003
42.83,2,949.06,0,1,5,0.0,0.0,6.0,248.87,4.0,0,15.0,2101.2,0,0.7848,0.0,1,52222,1,1,2,0.045081363282319015,0,0,0,33.612984000000004
172.34,0,61460.77,3,4,0,0.0,0.0,11.0,444.05,1.0,0,230.0,1225.52,2,0.4969,0.0,0,20768,23,1,1,0.0028040194742195027,0,0,0,85.635746
17612.100000000002,1,34805.65,2,3,2,0.0,0.0,1.0,398.91,3.0,2,224.0,3446.04,2,0.8099,0.0,0,52686,11,1,1,0.5059981354137787,1,0,0,14264.03979
20.31,1,60821.8,3,0,0,0.0,0.0,4.0,402.17,3.0,2,215.0,1999.56,2,0.6929,1.0,0,37704,16,1,1,0.0003339208323194591,0,0,0,14.072798999999998
21.28,3,94811.76,1,3,5,0.0,0.0,9.0,132.38,3.0,3,131.0,2064.88,3,0.9306,0.0,1,29440,6,1,1,0.00022444236408685923,0,0,0,19.803168
336.21,0,42599.37,0,0,2,0.0,0.0,8.0,196.54,1.0,1,91.0,1649.61,3,0.3174,0.0,0,45444,2,1,2,0.007892184973980271,1,0,0,106.713054
13.56,3,65615.57,0,3,4,0.0,0.0,8.0,345.45,3.0,0,27.0,3919.01,1,0.6608,0.0,0,27531,4,1,2,0.00020665511775455497,0,0,0,8.960448000000001
88.94,1,25920.8,4,1,0,1.0,0.0,13.0,450.27,4.0,2,2.0,3633.03,3,0.9234,1.0,1,3112,10,1,1,0.0034310888904319917,0,0,0,82.127196
164.25,3,13608.77,3,1,1,0.0,1.0,6.0,403.05,1.0,3,96.0,334.52,1,0.8251,1.0,0,69612,17,1,1,0.012068536059022306,0,0,0,135.522675
30.65,1,51840.79,4,0,0,0.0,0.0,5.0,310.81,2.0,3,30.0,183.83,0,0.4318,0.0,0,4766,4,1,2,0.0005912218694609118,0,0,0,13.23467
75.83,2,18956.43,4,4,0,0.0,1.0,14.0,305.87,1.0,2,22.0,413.74,1,0.3804,0.0,0,32803,23,1,1,0.0040000147699345324,0,1,0,28.845732
187.0,1,42415.09,0,2,2,0.0,0.0,12.0,60.68,3.0,0,214.0,4825.2,1,0.9375,0.0,1,7875,13,1,1,0.004408704338377253,0,0,1,175.3125
107.77,3,80224.58,3,1,4,0.0,0.0,5.0,185.94,2.0,3,226.0,2073.36,3,0.0891,1.0,0,22684,10,1,1,0.0013433371251413825,0,0,0,9.602307
63.56,2,31458.34,0,1,0,0.0,0.0,7.0,260.34,4.0,3,140.0,2925.99,1,0.7096,0.0,1,15230,6,1,2,0.0020203856787841066,0,0,0,45.102176
