2026-06-23 10:37:48,349 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 10:38:37,073 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 11:29:45,387 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 11:29:45,503 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 11:29:52,716 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 11:29:52,717 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 11:30:04,746 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 11:30:10,800 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 11:30:10,960 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:06:18,083 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:06:18,085 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:06:28,362 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:06:28,379 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:07:32,712 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:07:32,791 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:07:40,535 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:07:40,674 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:09:55,835 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:09:55,916 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:10:02,069 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:10:02,115 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:32:54,719 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:32:54,748 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:32:57,980 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:32:58,068 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:34:57,298 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:34:57,312 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:35:00,680 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:35:00,690 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:36:53,988 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:36:54,004 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:36:56,590 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:36:56,608 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:38:11,544 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:38:11,560 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:38:14,640 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:38:14,658 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:43:40,672 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:43:40,717 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 15:43:48,997 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 15:43:49,034 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-23 16:51:31,644 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 16:51:31,648 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-23 16:51:39,039 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-29 12:47:56,790 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-29 12:50:58,083 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-29 12:51:27,970 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-29 14:22:02,165 | INFO | FraudShieldAI | Closed MongoDB connection
2026-06-29 14:22:26,255 | INFO | FraudShieldAI | Connected to MongoDB
2026-06-29 14:22:39,707 | INFO | FraudShieldAI | Closed MongoDB connection
